	Hotel	Location	Code	Cost	Score	Rating	Walk.Grade	No. Restaurants	No. Attractions
11035	Staybridge Suites El Paso Airport Area	El Paso 	TX	$124	4.5	Excellent	53	30	1
11036	Hampton Inn & Suites El Paso/East	El Paso 	TX	$130	4.5	Excellent	40	49	1
11037	TownePlace Suites El Paso Airport	El Paso 	TX	$129	4.5	Excellent	45	56	1
11038	Homewood Suites El Paso Airport	El Paso 	TX	$127	4.5	Excellent	51	44	0
11039	Hilton Garden Inn El Paso Airport	El Paso 	TX	$120	4.5	Excellent	51	45	1
11040	La Quinta Inn & Suites by Wyndham El Paso East	El Paso 	TX	$53	4.0	Very good	45	34	0
11041	Ramada by Wyndham El Paso	El Paso 	TX	$57	4.0	Very good	NA	NA	NA
11042	La Quinta Inn & Suites by Wyndham El Paso West Bartlett	El Paso 	TX	$50	3.5	Very good	49	68	3
11043	Extended Stay America - El Paso - Airport	El Paso 	TX	$81	4.5	Excellent	45	59	1
11044	Aloft El Paso Downtown	El Paso 	TX	$98	4.5	Excellent	98	59	12
11045	Candlewood Suites El Paso North	El Paso 	TX	$99	4.5	Excellent	47	13	2
11046	Holiday Inn Express Hotel & Suites El Paso	El Paso 	TX	$119	4.5	Excellent	NA	NA	NA
11047	SpringHill Suites El Paso	El Paso 	TX	$112	4.0	Very good	40	58	1
11048	Courtyard EL Paso East/I-10	El Paso 	TX	$159	4.5	Excellent	NA	NA	NA
11049	Holiday Inn Express & Suites El Paso Airport Area	El Paso 	TX	$110	4.0	Very good	51	32	0
11050	Holiday Inn El Paso Airport	El Paso 	TX	$91	4.5	Excellent	37	64	2
11051	Marriott El Paso	El Paso 	TX	$209	4.0	Very good	45	53	1
11052	Holiday Inn Express & Suites El Paso East-Loop 375	El Paso 	TX	$86	4.5	Excellent	36	30	0
11053	Red Roof Inn El Paso West	El Paso 	TX	$42	3.5	Very good	45	65	2
11054	Super 8 by Wyndham El Paso Airport	El Paso 	TX	$47	3.5	Very good	66	22	4
11055	La Quinta Inn by Wyndham El Paso East Lomaland	El Paso 	TX	$50	3.5	Very good	NA	NA	NA
11056	Stanton House El Paso	El Paso 	TX	$179	4.5	Excellent	98	60	16
11057	Best Western Plus El Paso Airport Hotel & Conference Center	El Paso 	TX	$87	3.5	Very good	54	45	0
11058	La Quinta Inn by Wyndham El Paso Cielo Vista	El Paso 	TX	$45	3.5	Very good	52	68	4
11059	Holiday Inn Express El Paso - Central	El Paso 	TX	$85	4.0	Very good	92	40	13
11060	Courtyard El Paso Downtown / Convention Center	El Paso 	TX	$107	4.0	Very good	94	33	17
11061	Desert Inn	El Paso 	TX	NA	3.5	Very good	44	67	2
11062	Best Western Sunland Park Inn	El Paso 	TX	$75	3.5	Very good	60	27	4
11063	Extended Stay America - El Paso - West	El Paso 	TX	$90	4.0	Very good	60	32	3
11064	Sleep Inn University	El Paso 	TX	$75	3.5	Very good	56	34	3
11065	Quality Inn & Suites Airport	El Paso 	TX	$62	3.5	Very good	43	39	1
11066	Magnuson Hotel El Paso West	El Paso 	TX	$45	3.0	Average	49	64	3
11067	WoodSpring Suites El Paso Airport	NA	TX	$55	4.0	Very good	NA	NA	NA
11068	Americas Best Value Inn - El Paso / Medical Center	El Paso 	TX	$60	4.0	Very good	42	26	3
11069	Tru By Hilton El Paso East Loop 375	El Paso 	TX	$87	4.5	Excellent	NA	NA	NA
11070	Coral Motel	El Paso 	TX	$50	4.5	Excellent	40	68	2
11071	Palace Inn	El Paso 	TX	$69	4.0	Very good	NA	NA	NA
11072	Gardner Hotel	El Paso 	TX	$48	3.5	Very good	97	57	16
11073	Residence Inn El Paso	El Paso 	TX	$159	4.0	Very good	37	65	2
11074	Fairfield Inn & Suites El Paso	El Paso 	TX	$88	4.0	Very good	39	57	1
11075	Quality Inn Airport East	El Paso 	TX	$48	3.0	Average	47	33	0
11076	Motel 6 El Paso West	NA	TX	$50	3.0	Average	45	67	3
11077	Quality Inn & Suites	El Paso 	TX	$55	3.0	Average	NA	NA	NA
11078	El Paso Inn	El Paso 	TX	$44	3.0	Average	43	43	2
11079	Days Inn by Wyndham El Paso Airport East	El Paso 	TX	$48	3.0	Average	48	33	0
11080	Motel 6 El Paso-Airport-Fort Bliss	El Paso 	TX	$49	3.5	Very good	39	54	2
11081	Extend-A-Suites	El Paso 	TX	$55	3.0	Average	NA	NA	NA
11082	Woodspring Suites El Paso	El Paso 	TX	$70	4.0	Very good	NA	NA	NA
11083	Studio 6 El Paso East	NA	TX	$54	2.5	Average	NA	NA	NA
11084	Hotel El Paso - University	El Paso 	TX	$34	2.5	Average	47	22	5
11085	Super Lodge Hotel	NA	TX	NA	1.5	Poor	36	20	1
11086	Beverly Crest Motor Inn	El Paso 	TX	NA	NA	NA	NA	NA	NA
11087	Deluxe Inn	El Paso 	TX	$45	NA	NA	NA	NA	NA
11088	Motel 6 El Paso - Southeast	El Paso 	TX	$46	3.0	Average	NA	NA	NA
11089	Motel 6 El Paso East	El Paso 	TX	$40	3.5	Very good	NA	NA	NA
11090	Holiday Inn Express El Paso - Sunland Park Area	El Paso 	TX	$126	NA	NA	NA	NA	NA
11091	Hotel HillVue	El Paso 	TX	$50	3.5	Very good	NA	NA	NA
11092	TownePlace Suites El Paso East/I-10	El Paso 	TX	NA	NA	NA	NA	NA	NA
11093	Holiday Inn Express Guesthouse 1744 on Fort Bliss (An IHG Army Hotel)	El Paso 	TX	NA	4.0	Very good	42	19	3
11094	El Paso-West RV Park	El Paso 	TX	NA	3.0	Average	NA	NA	NA
11095	Mission RV Park	El Paso 	TX	NA	3.0	Average	NA	NA	NA
11096	Sunset Heights Bed & Breakfast Inn	El Paso 	TX	NA	4.5	Excellent	69	71	28
11097	Howard Johnson Inn - El Paso	El Paso 	TX	NA	2.0	Poor	71	61	6
11098	Hawaiian Royale Motel	El Paso 	TX	NA	1.0	Terrible	NA	NA	NA
11099	Americana Inn	NA	TX	NA	2.0	Poor	NA	NA	NA
11100	Sands Motel	El Paso 	TX	NA	NA	NA	NA	NA	NA
11101	Hotel Versalles	El Paso 	TX	NA	NA	NA	91	47	13
11102	Del Norte Courts Motel	El Paso 	TX	NA	NA	NA	62	17	7
11103	LA Posta Motor Lodge	El Paso 	TX	NA	NA	NA	59	33	6
11104	Lone Star Inn	El Paso 	TX	NA	2.5	Average	42	44	2
11105	Sleep Inn El Paso	El Paso 	TX	NA	4.5	Excellent	NA	NA	NA
11106	Econo Lodge Inn & Suites	El Paso 	TX	NA	3.0	Average	48	66	3
11107	Camino Real El Paso	El Paso 	TX	NA	3.0	Average	96	63	16
11108	InTown Suites El Paso	El Paso 	TX	NA	2.5	Average	42	37	0
11109	Hotel Paso Del Norte, Autograph Collection	El Paso 	TX	NA	NA	NA	NA	NA	NA
11110	De Soto Hotel	El Paso 	TX	NA	NA	NA	98	57	15
11111	Montana Motel El Paso	El Paso 	TX	NA	NA	NA	36	17	1
11112	TownePlace Suites El Paso North	El Paso 	TX	NA	NA	NA	NA	NA	NA
11113	Little America Hotel Flagstaff	Flagstaff 	AZ	$119	4.5	Excellent	NA	NA	NA
11114	Comfort Inn Flagstaff	Flagstaff 	AZ	$90	4.5	Excellent	77	72	8
11115	Drury Inn & Suites Flagstaff	Flagstaff 	AZ	$109	4.5	Excellent	87	24	2
11116	Hilton Garden Inn Flagstaff	Flagstaff 	AZ	$81	4.5	Excellent	78	81	9
11117	La Quinta Inn & Suites by Wyndham Flagstaff	Flagstaff 	AZ	$80	4.0	Very good	79	87	10
11118	Twin Arrows Navajo Casino Resort	Flagstaff 	AZ	$109	4.5	Excellent	NA	NA	NA
11119	Sonesta ES Suites Flagstaff	Flagstaff 	AZ	$109	4.5	Excellent	NA	NA	NA
11120	Best Western Pony Soldier Inn & Suites	Flagstaff 	AZ	$80	4.0	Very good	55	30	6
