	Hotel	Location	State	Cost	Score	Rating	Walk.Grade	No. Restaurants	No. Attractions
233	Hotel Vertigo	San Francisco 	CA	$209	4.0	Very good	100	224	46
234	San Francisco Marriott Fisherman's Wharf	San Francisco 	CA	$233	4.0	Very good	100	118	49
235	Hotel Zelos San Francisco	San Francisco 	CA	$229	4.0	Very good	100	298	117
236	The Kensington Park Hotel	San Francisco 	CA	$279	4.0	Very good	100	305	143
237	Kimpton Buchanan	San Francisco 	CA	$185	4.5	Excellent	93	146	28
238	Hyatt Place San Francisco Downtown	San Francisco 	CA	$319	4.5	Excellent	NA	NA	NA
239	Hotel Triton	San Francisco 	CA	$339	4.0	Very good	100	384	183
240	Galleria Park Hotel	San Francisco 	CA	$349	4.5	Excellent	100	404	136
241	The Park Central San Francisco	San Francisco 	CA	$260	4.0	Very good	100	346	114
242	San Francisco Marriott Union Square	San Francisco 	CA	$339	4.0	Very good	100	330	156
243	Petite Auberge	San Francisco 	CA	$209	4.5	Excellent	100	235	98
244	Chateau Tivoli Bed & Breakfast	San Francisco 	CA	$199	4.5	Excellent	83	39	16
245	The Willows Bed and Breakfast Inn	San Francisco 	CA	$180	4.5	Excellent	100	69	17
246	Parker Guest House	San Francisco 	CA	$229	4.5	Excellent	97	75	17
247	JW Marriott San Francisco Union Square	San Francisco 	CA	$379	4.0	Very good	100	294	125
248	The Metro Hotel	San Francisco 	CA	$182	4.5	Excellent	91	49	21
249	The Frenchmen Hotel	New Orleans 	LA	$179	4.0	Very good	100	86	63
250	Omni Riverfront Hotel	New Orleans 	LA	$179	4.5	Excellent	100	114	34
251	Hotel Monteleone	New Orleans 	LA	$299	4.5	Excellent	100	256	178
252	Comfort Suites New Orleans	New Orleans 	LA	$103	4.5	Excellent	NA	NA	NA
253	Courtyard New Orleans French Quarter/Iberville	NA	LA	$179	4.5	Excellent	100	209	124
254	Four Points By Sheraton French Quarter	New Orleans 	LA	$199	4.0	Very good	100	228	269
255	Olivier House Hotel	New Orleans 	LA	$199	4.5	Excellent	100	207	255
256	Old No. 77 Hotel & Chandlery	New Orleans 	LA	$168	4.0	Very good	100	143	50
257	Place d'Armes Hotel	New Orleans 	LA	$222	4.5	Excellent	100	178	236
258	Hampton Inn & Suites New Orleans Convention Center	New Orleans 	LA	$193	4.5	Excellent	88	27	10
259	Omni Royal Orleans	New Orleans 	LA	$179	4.5	Excellent	100	256	275
260	The Jung Hotel & Residences	New Orleans 	LA	$189	4.5	Excellent	87	31	6
261	Homewood Suites by Hilton New Orleans French Quarter	New Orleans 	LA	$202	4.5	Excellent	100	119	92
262	Hampton Inn & Suites New Orleans Downtown (French Quarter Area)	New Orleans 	LA	$211	4.5	Excellent	100	197	64
263	The Pelham	New Orleans 	LA	NA	4.0	Very good	100	210	94
264	Q&C HotelBar New Orleans, Autograph Collection	New Orleans 	LA	$212	4.5	Excellent	100	193	53
265	NOPSI Hotel New Orleans	New Orleans 	LA	$181	4.5	Excellent	100	161	36
266	Maison Dupuy	New Orleans 	LA	$209	4.0	Very good	100	134	179
267	Domio Baronne St.	New Orleans 	LA	$166	5.0	Excellent	NA	NA	NA
268	St. James Hotel, an Ascend Hotel Collection Member	New Orleans 	LA	$189	4.0	Very good	100	185	55
269	Inn on St Ann	New Orleans 	LA	$174	4.5	Excellent	100	96	155
270	Doubletree by Hilton Hotel New Orleans	New Orleans 	LA	$196	4.0	Very good	100	178	65
271	1896 O'Malley House Bed and Breakfast	New Orleans 	LA	$155	5.0	Excellent	71	38	2
272	Creole Gardens Guesthouse Bed & Breakfast	New Orleans 	LA	$129	4.5	Excellent	92	34	10
273	Federal City Inn & Suites	NA	LA	$129	4.0	Very good	NA	NA	NA
274	Holiday Inn New Orleans - Chateau Lemoyne	New Orleans 	LA	$198	4.0	Very good	100	218	169
275	Aloft New Orleans Downtown	New Orleans 	LA	$220	4.5	Excellent	100	167	47
276	Lions Inn Bed & Breakfast	New Orleans 	LA	$142	4.5	Excellent	92	24	9
277	Fairfield Inn & Suites New Orleans Downtown/French Quarter Area	New Orleans 	LA	$169	4.5	Excellent	100	152	31
278	Chez Palmiers Bed and Breakfast	New Orleans 	LA	$135	5.0	Excellent	89	20	12
279	Alder Hotel	New Orleans 	LA	$109	4.5	Excellent	57	47	6
280	Bienville House	New Orleans 	LA	$149	4.0	Very good	100	232	189
281	Gingerhill Farm Retreat	Island of Hawaii 	HI	$129	5.0	Excellent	NA	NA	NA
282	Kona Seaside Hotel	Island of Hawaii 	HI	$169	4.0	Very good	95	88	38
283	The Westin Hapuna Beach Resort	Island of Hawaii 	HI	$739	4.5	Excellent	41	10	3
284	Fairmont Orchid, Hawaii	Island of Hawaii 	HI	$348	4.5	Excellent	52	15	10
285	Kings' Land by Hilton Grand Vacations	Island of Hawaii 	HI	$359	4.5	Excellent	NA	NA	NA
286	Hilo Seaside Hotel	Island of Hawaii 	HI	$149	4.0	Very good	72	19	4
287	Kona Tiki Hotel	Island of Hawaii 	HI	$140	4.0	Very good	55	28	8
288	Volcano House	Island of Hawaii 	HI	$205	4.0	Very good	54	16	19
289	Holiday Inn Express Hotel & Suites Kailua-Kona	Island of Hawaii 	HI	$219	4.5	Excellent	94	54	31
290	Dolphin Bay	NA	HI	$119	4.5	Excellent	74	74	35
291	Four Seasons Resort Hualalai	Island of Hawaii 	HI	$864	4.5	Excellent	39	7	11
292	Volcano Inn	Island of Hawaii 	HI	$169	4.5	Excellent	NA	NA	NA
293	Kilauea Hospitality Group	NA	HI	$164	4.0	Very good	NA	NA	NA
